code	control_number	profession	description
243	8.0	Специалисты по сбыту и маркетингу продукции и услуг и связям с общественностью 	" Специалисты по сбыту и маркетингу
продукции и услуг и связям с общественностью планируют,
разрабатывают, координируют и претворяют в жизнь программы
распространения информации для популяризации организаций, товаров и
услуг; а также представляют компании в ходе продаж различных
технических, промышленных, медицинских, фармацевтических и
информационных товаров и услуг.

Выполняемые обязанности работников данной малой группы обычно
включают: назначение и проведение маркетинговых исследований, анализ
их результатов и планирование рекламной, маркетинговой деятельности и
деятельности по связям с общественностью; содействие расширению и
развитию бизнеса посредством подготовки и реализации маркетинговых
целей, стратегий и программ; планирование и организацию рекламных
кампаний; оценку и выбор материалов, предоставленных журналистами,
фотографами, иллюстраторами и другими специалистами с целью создания
благоприятного имиджа; получение и обновление сведений о товарах и
услугах работодателей и конкурентов, а также о рыночной конъюнктуре;
оценку потребностей клиентов, а также объяснение и демонстрацию
товаров и услуг для них; посещение постоянных и перспективных
клиентов для выяснения маркетинговых возможностей и принятия мер по
результатам таких посещений; назначение и обсуждение цен и условий
кредитования, а также заключение контрактов.
Занятия данной малой группы подразделяются на следующие
начальные группы:
2431 Специалисты по рекламе и маркетингу
2432 Специалисты по связям с
общественностью
2433 Специалисты по сбыту продукции (исключая
информационно-коммуникационные технологии)
2434 Специалисты по сбыту
информационно-коммуникационных технологий (ИКТ)
"
2431	1.0	Специалисты по рекламе и маркетингу 	" Специалисты по рекламе и маркетингу разрабатывают и
координируют рекламные стратегии и кампании, находят рынки сбыта
новых товаров и услуг, а также выясняют и разрабатывают маркетинговые
возможности в отношении существующих товаров и услуг.
В их обязанности входит:
- планирование, развитие и
организация рекламных стратегий и кампаний в поддержку целей по
продажам;
- консультирование руководства и клиентов в отношении
стратегий и кампаний, направленных на завоевание целевых рынков,
формирования потребительской осведомленности и эффективного
продвижения товаров и услуг;
- написание рекламных текстов и сценариев для рекламы,
а также согласование телевизионного и кинопроизводства, размещения
рекламы в средствах массовой информации;
- сбор и анализ данных о поведении
и предпочтениях потребителей;
- объяснение и прогнозирование текущих и будущих
склонностей потребителей;
- исследование потенциального спроса
и рыночных характеристик новых товаров и услуг;
- содействие расширению и развитию бизнеса посредством
подготовки и реализации маркетинговых целей, стратегий и программ;
- назначение и проведение маркетинговых исследований
для выяснения маркетинговых возможностей в отношении новых и
существующих товаров и услуг;
- консультирование по всем
маркетинговым аспектам, включая портфель продуктов, ценообразование,
рекламу и стимулирование продаж, а также каналы сбыта и
распространения.
Примеры занятий, отнесенных к данной начальной группе:
Специалист по маркетингу
Специалист по рекламе
"
2432	5.0	Специалисты по связям с общественностью 	" Специалисты по связям с общественностью планируют,
разрабатывают, претворяют в жизнь и оценивают информационные и
коммуникационные стратегии, способствующие пониманию и благоприятному
отношению к коммерческим и другим организациям, их товарам и услугам,
а также к их роли в обществе.
В их обязанности входит:
- планирование и организация презентационных кампаний и
коммуникационных стратегий;
- консультирование руководителей о
последствиях для общественности их политики, программ и методов, а
также подготовка и контроль выпусков новостей и пресс-релизов;
- проведение и назначение опросов общественного мнения,
анализ их результатов и планирование мероприятий по связям с
общественностью и презентационных кампаний;
- организация специальных мероприятий, семинаров,
развлечений, соревнований и приемов для повышения престижа и
формирования благоприятного имиджа организации;
- представление интересов
организаций и согласование интервью в средствах массовой информации;
- посещение деловых и других приемов с целью
популяризации организации;
- заказ и получение фотографий и
другого иллюстративного материала;
- выбор, оценка и обзор материалов, предоставленных
журналистами, фотографами, иллюстраторами и другими специалистами с
целью создания благоприятного имиджа.
Примеры занятий, отнесенных к данной начальной группе:
Агент по связям с общественностью
Составитель текстов по связям с общественностью
Специалист по связям с прессой
Специалист связи с общественностью
"
2433	9.0	Специалисты по сбыту продукции (исключая информационно-коммуникационные технологии) 	" Специалисты по сбыту продукции
(исключая информационно-коммуникационные технологии) осуществляют
услуги в сфере продаж различной технической, медицинской,
фармацевтической и другой продукции промышленным, коммерческим и
другим организациям.
В их обязанности входит:
- составление перечней перспективных клиентов при
помощи справочников и других источников;
- получение и обновление сведений о товарах и услугах
компании-производителя и конкурентов, а также о рыночной конъюнктуре;
- посещение постоянных и
перспективных клиентов для выяснения маркетинговых возможностей и
принятия мер по результатам таких посещений;
- оценка потребностей клиентов и
ресурсов, а также рекомендация соответствующих товаров и услуг;
- предоставление информации о дизайне продукции, если
товары или услуги должны быть адаптированы в соответствии с
потребностями клиентов;
- подготовка отчетов и предложений в рамках торговых
презентаций для демонстрации преимуществ от использования товаров или
услуг;
- оценка затрат, связанных с установкой оборудования и
обеспечением его сервисного обслуживания;
- отслеживание меняющихся
потребностей клиентов и деятельности конкурентов, а также подготовка
отчетов о таких изменениях для руководителей по сбыту;
- назначение и обсуждение цен и
условий кредитования, а также подготовка и применение договоров
купли-продажи;
- согласование доставки товаров, установки оборудования
и оказания услуг;
- подготовка отчетов для руководителей по сбыту об
осуществленных продажах и реализуемости товаров и услуг;
- проведение консультаций с клиентами после продажи для
надлежащего решения любых проблем, а также обеспечение непрерывной
поддержки.
Примеры занятий, отнесенных к данной начальной группе:
Менеджер по продажам
Торговый представитель (медицинские
и фармацевтические товары)
Торговый представитель (промышленные товары)
Торговый представитель по продаже
технических товаров
Некоторые родственные занятия, отнесенные к другим
начальным группам:
Торговый представитель (коммуникационные технологии) -
2434
Торговый представитель (компьютеры) - 2434
Агент по коммерческим продажам - 3322
"
2434	2.0	Специалисты по сбыту информационно-коммуникационных технологий (ИКТ) 	" Специалисты по сбыту
информационно-коммуникационных технологий (ИКТ) продают оптом
различное компьютерное аппаратное обеспечение, компьютерное
обеспечение и другие информационно-коммуникационные товары и услуги,
включая установку, а также предоставляют при необходимости
специализированную информацию.
В их обязанности входит:
- получение заказов и продажа товаров розничным,
промышленным, оптовым и другим предприятиям;
- продажа технического оборудования, материалов и
сопутствующих услуг торгово-промышленным предприятиям или физическим
лицам;
- обсуждение потребностей новых или
текущих потребителей и предоставление специализированной информации о
том, каким образом отдельные виды оборудования, материалов и услуг
отвечают их потребностям;
- назначение и обсуждение цен и
условий кредитования, а также подписание контрактов и принятие
заказов;
- обновление сведений о потребителях и подготовка
отчетов о продажах;
- согласование доставки товаров, установки оборудования
и оказания услуг;
- подготовка отчетов об ответной реакции потребителей и
их требованиях к производителям.
Примеры занятий, отнесенных к данной начальной группе:
Торговый представитель (коммуникационные технологии)
Торговый представитель (компьютеры)
Некоторые родственные занятия,
отнесенные к другим начальным группам:
Агент по коммерческим продажам - 3322
Продавец-консультант в магазине -
5223
"
251	4.0	Разработчики и аналитики программного обеспечения и приложений 	" Разработчики и
аналитики программного обеспечения и приложений проводят
исследовательскую работу; планируют, разрабатывают, описывают,
испытывают, консультируют и совершенствуют системы информационных
технологий, такие как аппаратное, программное обеспечение и другие
приложения в соответствии с особыми требованиями. Уровень компетенций
большинства занятий, включенных в данную малую группу, требует
квалификации, соответствующей четвертому квалификационному уровню.
Выполняемые
обязанности работников данной малой группы обычно включают: изучение
использования информационных технологий в бизнесе и выявление
областей, в которые могут быть внесены улучшения для максимального
повышения эффективности и прибыльности; проведение
научно-исследовательской работы в области теоретических аспектов и
методов использования компьютеров; оценку, планирование и разработку
конфигураций программного и аппаратного обеспечения для специальных
приложений; разработку, написание, испытание и сопровождение
компьютерных программ в соответствии со специальными требованиями;
оценку, планирование и разработку систем для сети Интернет,
внутренних сетей и мультимедийных систем.
Занятия данной малой группы подразделяются на следующие
начальные группы:
2511 Системные аналитики
2512 Разработчики программного обеспечения
2513 Разработчики Web и мультимедийных приложений
2514 Программисты приложений
2519 Разработчики и аналитики
программного обеспечения и приложений, не входящие в другие группы
"
2511	8.0	Системные аналитики 	Полная расшифровка кода ОКЗ 404 ошибка:Код ОКЗ 404 ошибка / 
2512	1.0	Разработчики программного обеспечения 	" Разработчики программного
обеспечения проводят исследования, анализируют и оценивают требования
к текущим или новым программным приложениям и операционным системам и
проектируют, разрабатывают, испытывают и поддерживают программные
решения в соответствии с такими требованиями.
В их обязанности входит:
- проведение исследований, анализ и оценка требований к
программным приложениям и операционным системам;
- проведение исследований, проектирование и разработка
систем компьютерного программного обеспечения;
- проведение консультаций с инженерно-техническим
персоналом для оценки интерфейса между аппаратным и программным
обеспечением;
- разработка и проведение испытаний
программного обеспечения и процедур аттестации;
- модификация текущего программного
обеспечения для исправления ошибок, его адаптации к новому
аппаратному обеспечению или обновления интерфейса и улучшения
характеристик;
- написание программного обеспечения и разработка
документации;
- оценка, разработка, обновление и документальное
оформление процедур технического обслуживания эксплуатируемых систем,
коммуникационных сред и прикладного программного обеспечения;
- проведение консультаций с клиентами по вопросам
технического обслуживания программных систем.
Примеры занятий, отнесенных к
данной начальной группе:
Инженер-программист
Программист-аналитик
Проектировщик программного обеспечения
Разработчик программного обеспечения
Некоторые родственные занятия, отнесенные к другим
начальным группам:
Программист приложений - 2514
Техник-электроник - 3114
"
2513	5.0	Разработчики Web и мультимедийных приложений 	" Разработчики Web и мультимедийных
приложений сочетают в своей работе дизайнерские и технические знания
для проведения исследований, анализа, оценки, проектирования,
программирования и изменения веб-сайтов и приложений, объединяющих
текстовые, графические, мультипликационные, изобразительные, звуковые
и видеоматериалы, а также другие интерактивные средства.
В их обязанности входит:
- анализ, проектирование и разработка сайтов для сети
Интернет посредством сочетания различных художественных и творческих
средств с программным обеспечением, языками сценариев и интерфейсом с
операционными средами;
- проектирование и разработка
цифровых мультипликаций, изображений, презентаций, игр, звуковых и
видеоклипов и Интернет-приложений с использованием мультимедийного
программного обеспечения, средств и утилит, интерактивной графики и
языков программирования;
- поддержка связи с сетевыми
специалистами по таким связанным с Интернет вопросами, как
безопасность и размещение веб-сайтов с целью контроля и обеспечения
безопасности в сети Интернет и безопасности веб-сервера,
распределение места, доступ пользователей, непрерывное
функционирование, резервирование веб-сайта и восстановление после
аварий;
- проектирование, разработка и
интеграция машинного кода с другими специализированными входными
данными, включая файлы изображений, звуковые файлы и языки сценариев,
с целью разработки, сопровождения и поддержки веб-сайтов;
- оказание содействия при анализе,
определении и разработке Интернет-стратегий, методологий и планов
развития на основе Web.
Примеры занятий, отнесенных к данной начальной группе:
Интернет-разработчик
Мультимедийный программист
Программист-мультипликатор
Программист-разработчик компьютерных игр
Разработчик архитектуры веб-сайтов
Разработчик веб-сайтов
Некоторые родственные занятия, отнесенные к другим
начальным группам:
Дизайнер веб-сайтов - 2166
Администратор веб-сайтов - 3514
Веб-мастер - 3514
Специалист-техник по Web - 3514
"
2514	9.0	Программисты приложений 	" Программисты приложений создают и
поддерживают программный код, указанный в технических инструкциях и
спецификациях для программных приложений и операционных систем.
В их обязанности входит:
- создание и поддержка программного кода, указанного в
инструкциях и спецификациях, в соответствии со стандартами качества;
- пересмотр, отладка или расширение имеющихся программ
для повышения эффективности их работы или адаптации к новым
требованиям;
- проведение тестовых прогонов
программ и программных приложений для проверки того, что они
обеспечивают требуемую информацию;
- составление и подготовка документации о разработке
программ;
- выявление и уведомление о
технических проблемах, процессах и решениях.
Примеры занятий, отнесенных к данной начальной группе:
Программист приложений
Специалист по тестированию приложений
Некоторые родственные занятия, отнесенные к другим
начальным группам:
Программист-аналитик - 2512
Разработчик программного обеспечения - 2512
Мультимедийный программист - 2513
"
2519	7.0	Разработчики и аналитики программного обеспечения и приложений, не входящие в другие группы 	" Эта начальная группа включает
разработчиков и аналитиков программного обеспечения и приложений, не
входящих в другие группы малой группы 251 Разработчики и аналитики
программного обеспечения и приложений. Например, в данную группу
входят специалисты, специализирующиеся на обеспечении качества,
включая испытания программного обеспечения.
В таких случаях в их обязанности входит:
- разработка и документирование планов испытаний
программного обеспечения;
- установка программного и
аппаратного обеспечения и конфигурирование программного обеспечения
операционной системы при подготовке к испытаниям;
- проверка того, что программы
функционируют в соответствии с требованиями пользователя и
установленными нормативами;
- оформление, анализ и документирование результатов
испытаний программных приложений, а также испытаний информационных и
телекоммуникационных систем;
- разработка и претворение в жизнь порядка, процедур и
сценариев испытаний программного обеспечения и информационных систем.
Примеры занятий, отнесенных к данной начальной группе:
Аналитик по обеспечению качества (компьютеры)
Испытатель программного обеспечения
Испытатель систем
"
252	7.0	Специалисты по базам данных и сетям 	" Специалисты по базам данных и сетям
проектируют, разрабатывают, контролируют, ведут и поддерживают
оптимальную производительность и безопасность системы и
инфраструктуру информационных технологий, включая базы данных,
аппаратное и программное обеспечение, сети и операционные системы.
Выполняемые
обязанности работников данной малой группы обычно включают:
проектирование и разработку архитектуры баз данных, структуры данных,
словарей и терминов для проектов информационных систем;
проектирование, создание, модификацию, интеграцию, реализацию и
испытание систем управления базами данных; разработку и реализацию
планов безопасности, политики администрирования данных, документации
и стандартов; поддержку и администрирование компьютерных сетей и
связанных с ними вычислительных сред; анализ, разработку,
истолкование и оценку сложных систем и спецификаций их архитектуры,
моделей данных и диаграмм, находящихся в разработке, конфигурирование
и интеграцию компьютерных систем.
Занятия данной малой группы подразделяются на следующие
начальные группы:
2521 Дизайнеры баз данных и администраторы
2522 Системные администраторы
2523 Специалисты по компьютерным сетям
2529 Специалисты по базам данных и сетям, не входящие в
другие группы
"
2521	0.0	Дизайнеры баз данных и администраторы 	" Дизайнеры баз данных и администраторы проектируют,
разрабатывают, контролируют, ведут и поддерживают оптимальную
производительность и безопасность баз данных.
В их обязанности входит:
- проектирование и разработка архитектуры баз данных,
структуры данных, таблиц, словарей и терминов для проектов
информационных систем;
- проектирование, создание, модификация, интеграция,
реализация и испытание систем управления базами данных;
- проведение исследований и
предоставление рекомендаций по выбору, применению и реализации
средств управления базами данных;
- разработка и реализация политики администрирования
данных, документации, стандартов и моделей;
- разработка процедур доступа к базам данных, их
использования, резервирования и восстановления данных;
- проведение рабочих и профилактических мероприятий,
связанных с резервированием, процедурами восстановления, и
обеспечение применения средств контроля безопасности и целостности.
Примеры занятий, отнесенных к
данной начальной группе:
Администратор баз данных
Администратор данных
Аналитик баз данных
Разработчик архитектуры баз данных
Некоторые родственные занятия, отнесенные к другим
начальным группам:
Сетевой администратор - 2522
Системный администратор (компьютеры) - 2522
Администратор веб-сайтов - 3514
Веб-мастер - 3514
"
2522	4.0	Системные администраторы 	" Системные администраторы разрабатывают, контролируют,
ведут и поддерживают оптимальную производительность и безопасность
систем информационных технологий.
В их обязанности входит:
- поддержка и администрирование
компьютерных сетей и связанных с ними вычислительных сред, включая
компьютерное аппаратное обеспечение, системы программного
обеспечения, прикладное программное обеспечение и их
конфигурирование;
- рекомендация изменений для улучшения конфигурации
систем и сетей, а также определение требований к аппаратному и
программному обеспечению в связи с такими изменениями;
- диагностика проблем, связанных с аппаратным и
программным обеспечением;
- резервирование данных и аварийное
восстановление;
- использование основных консолей
для отслеживания характеристик компьютерных систем и сетей, а также
для координации доступа к компьютерной сети и ее использования.
Примеры занятий, отнесенных к данной начальной группе:
Сетевой администратор
Системный администратор (компьютеры)
Некоторые родственные занятия, отнесенные к другим
начальным группам:
Администратор баз данных - 2521
Сетевой аналитик - 2523
Администратор веб-сайтов - 3514
Веб-мастер - 3514
Специалист-техник по Web - 3514
"
2523	8.0	Специалисты по компьютерным сетям 	" Специалисты по компьютерным сетям
проводят исследования, анализируют, проектируют, испытывают и
рекомендуют стратегии в области сетевой архитектуры и развития. Они
реализуют, управляют, поддерживают и конфигурируют сетевое аппаратное
и программное обеспечение, а также осуществляют мониторинг, поиск и
устранение неисправностей и оптимизируют характеристики.
В их обязанности входит:
- анализ, разработка, истолкование
и оценка сложных систем и спецификаций их архитектуры, моделей данных
и диаграмм, находящихся в разработке, конфигурирование и интеграция
компьютерных систем;
- проведение исследований, анализ,
оценка и мониторинг сетевой инфраструктуры для обеспечения
оптимальной конфигурации и производительности сетей;
- оценка и разработка рекомендаций по улучшению работы
сети и интегрированного аппаратного, программного обеспечения,
коммуникационных и операционных систем;
- применение специальных навыков для поддержки и при
поиске и устранении неисправностей при работе сети и в аварийных
ситуациях;
- установка, конфигурирование,
испытание, поддержка и администрирование новых и обновленных сетей,
программных приложений баз данных, серверов и рабочих станций;
- подготовка и проведение процедур и
документации при проведении инвентаризации сети, регистрация
состояния и устранение неисправностей сети, внесение в сеть улучшений
и модификаций, а также подготовка инструкций по техническому
обслуживанию;
- мониторинг трафика и состояния сети, емкости и
использования с целью обеспечения непрерывной целостности и
оптимальной производительности сети.
Примеры занятий, отнесенных к данной начальной группе:
Аналитик, коммуникации (компьютеры)
Сетевой аналитик
Некоторые родственные занятия,
отнесенные к другим начальным группам:
Системный аналитик - 2511
Сетевой администратор - 2522
"
2529	2.0	Специалисты по базам данных и сетям, не входящие в другие группы 	" Эта начальная группа включает специалистов по базам
данных и сетям, не входящих в другие группы малой группы 252
Специалисты по базам данных и сетям. Например, в данную группу входят
специалисты по вопросам безопасности информационных и
коммуникационных технологий.
В таких случаях в их обязанности входит:
- разработка
планов по обеспечению безопасности компьютерных файлов от случайного
или несанкционированного изменения, уничтожения или разглашения, а
также обеспечение требований по обработке данных в аварийных
ситуациях;
- обучение и привлечение внимания пользователей к
проблемам безопасности для обеспечения системы безопасности и
повышения эффективности сервера и сети;
- обсуждение с пользователями вопросов, касающихся
требований к доступу компьютерных данных, нарушения безопасности и
программных изменений;
- мониторинг текущих отчетов о компьютерных вирусах с
целью определения сроков обновления систем защиты от вирусов;
- внесение изменений в документы по
компьютерной безопасности для включения в них нового программного
обеспечения, исправления ошибок или изменения статуса доступа для
отдельных лиц;
- контроль использования файлов с данными и
регулирование доступа с целью защиты информации, записанной в
компьютерных файлах;
- оценка риска и проведение испытаний системы обработки
данных для обеспечения ее функционирования и соблюдения мер
безопасности;
- шифрование передаваемых данных и
установка брандмауэров для скрытия передаваемой конфиденциальной
информации и недопущения несанкционированной передачи информации.
Примеры занятий, отнесенных к данной начальной группе:
Специалист по вопросам безопасности
(ИКТ)
Специалист-криминалист по цифровым технологиям
Шифровальщик данных
"
261	6.0	Специалисты в области права 	" Специалисты в области права проводят
исследования правовых проблем, дают консультации клиентам по
юридическим аспектам проблем, ведут дела по защите и обвинению в
судах общей юрисдикции, председательствуют на судебных заседаниях в
судах общей юрисдикции и составляют проекты законов и нормативных
актов.
Выполняемые
обязанности работников данной малой группы обычно включают:
консультирование клиентов по правовым вопросам, организацию законного
бизнеса от имени клиента и ведение (при необходимости) споров или
председательствование на судебных заседаниях и объявление приговоров
в судах общей юрисдикции. Обязанности могут включать руководство
другими работниками.
Занятия данной малой группы подразделяются на следующие
начальные группы:
2611 Юристы
2612 Судьи
2613 Специалисты по патентной работе и защите авторских
прав
2619 Специалисты в области права, не входящие в другие
группы
"
2611	8.0	Юристы 	" Юристы дают клиентам юридические
консультации по широкому кругу вопросов, составляют юридические
документы, представляют интересы клиентов в административных советах
или органах правосудия, ведут дела по защите и обвинению в суде, а
также инструктируют адвокатов, выступающих в судах высшей инстанции.
В их обязанности входит:
- консультирование клиентов по широкому кругу
юридических вопросов и представление правовых интересов клиентов в
бизнесе;
- исследование юридических принципов, законодательных
актов и предшествующих судебных решений, связанных с определенными
делами;
- сбор доказательств для разработки
защиты или возбуждения судебного процесса при помощи таких средств,
как проведение собеседований с клиентами и свидетелями для проверки
фактов по делу;
- оценка полученных результатов и
разработка стратегий и аргументов в ходе подготовки к прениям сторон;
- осуществление защиты по делам клиентов в судах общей
юрисдикции, органах правосудия и административных советах или
инструктирование адвокатов, выступающих в судах высшей инстанции;
- принятие дел и выступление в судах высшей инстанции;
- выступление в качестве обвинителя от имени
государства;
- ведение переговоров о достижении соглашения по
вопросам, вызывающим правовые споры;
- составление проектов законов и
подготовка правительственных постановлений на основе текущего
законодательства;
- составление юридических
документов, таких как контракты, сделки с недвижимостью и завещания,
а также подготовка юридических заключений.
Примеры занятий, отнесенных к данной начальной группе:
Адвокат
Поверенный в делах
Прокурор
Юрисконсульт
Некоторые родственные занятия, отнесенные к другим
начальным группам:
Нотариус - 2619
Конторский служащий, составление документов для
оформления перехода права на недвижимость - 3411
Конторский служащий, судебный - 3411
"
